03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
32,0.5986809430786001,1,32,0,54679.83,41,0,10.0,0.5986809430786001,1683585356,0,,,,,,,,,,,,,,,,,,,,,,,
65,1.2420188838637671,1,64,1,26330.62,42,0,10.0,1.2420188838637671,1683585357,0,32.0,0.0,0.6,0.0,,,,,,,,,,,,,,,,,,,
128,2.666418744260727,1,128,2,12240.99,43,0,10.0,2.666418744260727,1683585358,0,64.0,0.0,1.24,0.0,,,,,,,,,,,,,,,,,,,
162,3.448647311222019,1,160,3,9454.85,44,0,10.0,3.448647311222019,1683585359,0,128.0,0.0,2.67,0.0,,,,,,,,,,,,,,,,,,,
195,4.278013027617027,1,192,4,7613.99,45,0,10.0,4.278013027617027,1683585360,0,160.0,0.0,3.45,0.0,,,,,,,,,,,,,,,,,,,
257,6.072318297152237,1,256,5,5353.93,47,0,10.0,6.072318297152237,1683585362,0,192.0,0.0,4.28,0.0,,,,,,,,,,,,,,,,,,,
292,7.034495627705534,1,288,6,4616.74,48,0,10.0,7.034495627705534,1683585363,0,256.0,0.0,6.07,0.0,,,,,,,,,,,,,,,,,,,
326,8.036065059223887,1,320,7,4037.0,49,0,10.0,8.036065059223887,1683585364,0,288.0,0.0,7.03,0.0,,,,,,,,,,,,,,,,,,,
386,10.143262832123114,1,384,8,3192.42,50,0,10.0,10.143262832123114,1683585365,0,320.0,0.0,8.04,0.0,,,,,,,,,,,,,,,,,,,
422,11.245429809135027,1,416,9,2876.35,51,0,10.0,11.245429809135027,1683585366,0,384.0,0.0,10.14,0.0,,,,,,,,,,,,,,,,,,,
458,12.359949076043632,1,448,10,2614.06,52,0,10.0,12.359949076043632,1683585367,0,416.0,0.0,11.25,0.0,,,,,,,,,,,,,,,,,,,
516,14.639591902050109,1,512,11,2203.07,54,0,10.0,14.639591902050109,1683585369,0,448.0,0.0,12.36,0.0,,,,,,,,,,,,,,,,,,,
553,15.78901407640618,1,544,12,2040.35,55,0,10.0,15.78901407640618,1683585370,0,512.0,0.0,14.64,0.0,,,,,,,,,,,,,,,,,,,
591,16.933311044689106,1,576,13,1900.24,56,0,10.0,16.933311044689106,1683585371,0,544.0,0.0,15.79,0.0,,,,,,,,,,,,,,,,,,,
703,19.18495320211981,1,640,14,1671.36,60,0,10.0,19.18495320211981,1683585375,0,576.0,0.0,16.93,0.0,,,,,,,,,,,,,,,,,,,
791,23.381214333290046,1,768,15,1367.64,61,0,10.0,23.381214333290046,1683585376,0,640.0,0.0,19.18,0.0,,,,,,,,,,,,,,,,,,,
842,25.261845749257887,1,832,16,1263.8,62,0,10.0,25.261845749257887,1683585377,0,768.0,0.0,23.38,0.0,,,,,,,,,,,,,,,,,,,
