04_peers/peer_8_epoch,04_peers/peer_8_epoch_oos,04_peers/peer_3_samples_per_second,03_hivemind/per_epoch_training_samples,04_peers/peer_2_epoch,04_peers/peer_4_epoch,04_peers/peer_7_epoch,03_hivemind/undershot_TBS,03_hivemind/epoch_based_sps,03_hivemind/total_training_samples,04_peers/peer_6_samples_accumulated,04_peers/peer_8_samples_accumulated,_timestamp,03_hivemind/epoch_s,03_hivemind/global_epoch,03_hivemind/estimated_current_samples,03_hivemind/global_samples_accumulated,03_hivemind/next_fetch_time_s,04_peers/peer_6_samples_per_second,_step,03_hivemind/num_clients,04_peers/peer_5_epoch_oos,03_hivemind/actual_total_samples_per_second,04_peers/peer_5_epoch,03_hivemind/eta_next_epoch_s,04_peers/peer_3_samples_accumulated,04_peers/peer_2_samples_per_second,04_peers/peer_8_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_3_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_4_epoch_oos,04_peers/peer_7_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_7_epoch_oos,04_peers/peer_1_samples_per_second,04_peers/peer_5_samples_per_second,03_hivemind/overshot_TBS,04_peers/peer_2_epoch_oos,04_peers/peer_6_epoch_oos,04_peers/peer_1_samples_accumulated,04_peers/peer_7_samples_accumulated,_runtime,03_hivemind/num_peers,03_hivemind/reached_TBS,03_hivemind/optimistic_total_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_5_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_6_epoch,04_peers/peer_1_epoch_oos
1.0,0.0,93.29,,1.0,1.0,1.0,,,,2112.0,2144.0,1683052344.0,,1,18412,18176,10.0,92.75,55,0,0.0,741.8532173140879,1.0,19.35,2144.0,93.64,92.1,2176.0,1.0,0.0,0.0,92.42,2144.0,0.0,91.92,93.48,,0.0,0.0,2112.0,2144.0,149,8,,741.8532173140879,92.7,2176.0,1.0,1.0,0.0
1.0,0.0,93.19,,1.0,1.0,1.0,,,,2240.0,2272.0,1683052346.0,,1,19450,19200,10.0,92.77,56,0,0.0,741.4699434381655,1.0,17.96,2272.0,93.64,92.0,2304.0,1.0,0.0,0.0,92.35,2272.0,0.0,91.83,93.41,,0.0,0.0,2240.0,2272.0,151,8,,741.4699434381655,92.65,2304.0,1.0,1.0,0.0
1.0,0.0,93.1,,1.0,1.0,1.0,,,,2368.0,2400.0,1683052347.0,,1,20491,20288,10.0,92.76,57,0,0.0,741.3058606040833,1.0,16.56,2400.0,93.56,91.97,2432.0,1.0,0.0,0.0,92.29,2400.0,0.0,91.81,93.35,,0.0,0.0,2368.0,2400.0,152,8,,741.3058606040833,92.62,2432.0,1.0,1.0,0.0
1.0,0.0,93.05,,1.0,1.0,1.0,,,,2496.0,2528.0,1683052349.0,,1,21537,21312,10.0,92.77,58,0,0.0,741.0543591585578,1.0,15.16,2560.0,93.54,91.99,2560.0,1.0,0.0,0.0,92.23,2528.0,0.0,91.79,93.38,,0.0,0.0,2528.0,2528.0,154,8,,741.0543591585578,92.56,2560.0,1.0,1.0,0.0
1.0,0.0,92.99,,1.0,1.0,1.0,,,,2624.0,2656.0,1683052350.0,,1,22577,22336,10.0,92.77,59,0,0.0,740.7515181942215,1.0,13.76,2688.0,93.44,91.92,2688.0,1.0,0.0,0.0,92.19,2656.0,0.0,91.67,93.56,,0.0,0.0,2656.0,2656.0,155,8,,740.7515181942215,92.51,2688.0,1.0,1.0,0.0
1.0,0.0,92.92,,1.0,1.0,1.0,,,,2752.0,2784.0,1683052352.0,,1,23619,23392,8.99,92.79,60,0,0.0,740.3600641565552,1.0,12.36,2816.0,93.45,91.85,2816.0,1.0,0.0,0.0,92.25,2784.0,0.0,91.6,93.5,,0.0,0.0,2784.0,2784.0,157,8,,740.3600641565552,92.38,2816.0,1.0,1.0,0.0
1.0,0.0,92.84,,1.0,1.0,1.0,,,,2880.0,2912.0,1683052353.0,,1,24659,24480,7.97,92.7,61,0,0.0,739.9154337411828,1.0,10.96,2944.0,93.32,91.79,2976.0,1.0,0.0,0.0,92.34,2912.0,0.0,91.57,93.48,,0.0,0.0,2912.0,2912.0,158,8,,739.9154337411828,92.32,2944.0,1.0,1.0,0.0
1.0,0.0,92.83,,1.0,1.0,1.0,,,,3040.0,3040.0,1683052354.0,,1,25696,25504,6.95,92.58,62,0,0.0,739.6139254740878,1.0,9.56,3072.0,93.22,91.78,3104.0,1.0,0.0,0.0,92.28,3040.0,0.0,91.54,93.42,,0.0,0.0,3040.0,3040.0,159,8,,739.6139254740878,92.26,3104.0,1.0,1.0,0.0
1.0,0.0,92.75,,1.0,1.0,1.0,,,,3168.0,3168.0,1683052356.0,,1,26727,26560,5.94,92.51,63,0,0.0,739.2184305389061,1.0,8.17,3200.0,93.15,91.75,3232.0,1.0,0.0,0.0,92.32,3168.0,0.0,91.47,93.42,,0.0,0.0,3168.0,3168.0,161,8,,739.2184305389061,92.24,3232.0,1.0,1.0,0.0
1.0,0.0,92.7,,1.0,1.0,1.0,,,,3296.0,3296.0,1683052357.0,,1,27774,27584,4.92,92.43,64,0,0.0,738.8254250108644,1.0,6.76,3328.0,93.12,91.67,3360.0,1.0,0.0,0.0,92.33,3328.0,0.0,91.4,93.34,,0.0,0.0,3296.0,3296.0,162,8,,738.8254250108644,92.23,3360.0,1.0,1.0,0.0
1.0,0.0,92.65,,1.0,1.0,1.0,,,,3424.0,3424.0,1683052359.0,,1,28811,28608,3.9,92.43,65,0,0.0,738.6346933373071,1.0,5.36,3456.0,93.0,91.61,3488.0,1.0,0.0,0.0,92.3,3456.0,0.0,91.34,93.33,,0.0,0.0,3424.0,3424.0,164,8,,738.6346933373071,92.17,3488.0,1.0,1.0,0.0
1.0,0.0,92.65,,1.0,1.0,1.0,,,,3552.0,3552.0,1683052360.0,,1,29842,29632,2.88,92.43,66,0,0.0,738.2856243428851,1.0,3.96,3584.0,92.93,91.57,3616.0,1.0,0.0,0.0,92.27,3584.0,0.0,91.38,93.33,,0.0,0.0,3552.0,3552.0,165,8,,738.2856243428851,92.08,3616.0,1.0,1.0,0.0
1.0,0.0,92.61,,1.0,1.0,1.0,,,,3680.0,3680.0,1683052361.0,,1,30873,30656,1.87,92.4,67,0,0.0,737.7052537337931,1.0,2.57,3712.0,92.85,91.51,3744.0,1.0,0.0,0.0,92.24,3712.0,0.0,91.36,93.21,,0.0,0.0,3680.0,3680.0,166,8,,737.7052537337931,92.11,3744.0,1.0,1.0,0.0
1.0,0.0,92.49,,1.0,1.0,1.0,,,,3808.0,3808.0,1683052363.0,,1,31907,31680,0.85,92.32,68,0,0.0,737.4225709938485,1.0,1.17,3840.0,92.8,91.46,3872.0,1.0,0.0,0.0,92.15,3840.0,0.0,91.26,93.16,,0.0,0.0,3808.0,3808.0,168,8,,737.4225709938485,92.06,3872.0,1.0,1.0,0.0
1.0,0.0,92.45,,1.0,1.0,1.0,,,,3936.0,3936.0,1683052364.0,,1,32943,32704,0.5,92.19,69,0,0.0,737.2235830218187,1.0,0.0,3968.0,92.81,91.4,4000.0,1.0,0.0,0.0,92.13,3968.0,0.0,91.21,93.19,,0.0,0.0,3936.0,3936.0,169,8,,737.2235830218187,92.05,4000.0,1.0,1.0,0.0
1.0,0.0,92.4,,1.0,1.0,1.0,,,,4064.0,4064.0,1683052366.0,,1,33980,32896,0.5,92.17,70,0,0.0,737.1268923201372,1.0,0.0,4096.0,92.8,91.4,4128.0,1.0,0.0,0.0,92.15,4096.0,0.0,91.18,93.15,,0.0,0.0,4064.0,4064.0,171,8,,737.1268923201372,91.98,4128.0,1.0,1.0,0.0
1.0,0.0,92.39,,1.0,1.0,1.0,,,,4096.0,4096.0,1683052367.0,,1,35118,32896,0.5,92.1,71,0,0.0,737.1268923201372,1.0,0.0,4128.0,92.79,91.41,4160.0,1.0,0.0,0.0,92.15,4096.0,0.0,91.18,93.12,,0.0,0.0,4064.0,4096.0,172,8,,737.1268923201372,91.98,4160.0,1.0,1.0,0.0
1.0,0.0,92.39,,1.0,1.0,1.0,,,,4096.0,4096.0,1683052369.0,,1,36155,32896,0.5,92.1,72,0,0.0,737.1268923201372,1.0,0.0,4128.0,92.79,91.41,4160.0,1.0,0.0,0.0,92.15,4096.0,0.0,91.18,93.12,,0.0,0.0,4064.0,4096.0,174,8,,737.1268923201372,91.98,4160.0,1.0,1.0,0.0
1.0,0.0,92.39,,1.0,1.0,1.0,,,,4096.0,4096.0,1683052370.0,,1,37195,32896,0.5,92.1,73,0,0.0,737.1268923201372,1.0,0.0,4128.0,92.79,91.41,4160.0,1.0,0.0,0.0,92.15,4096.0,0.0,91.18,93.12,,0.0,0.0,4064.0,4096.0,175,8,,737.1268923201372,91.98,4160.0,1.0,1.0,0.0
1.0,0.0,92.39,,1.0,1.0,1.0,,,,4096.0,4096.0,1683052371.0,,1,38230,32896,0.5,92.1,74,0,0.0,737.1268923201372,1.0,0.0,4128.0,92.79,91.41,4160.0,1.0,0.0,0.0,92.15,4096.0,0.0,91.18,93.12,,0.0,0.0,4064.0,4096.0,176,8,,737.1268923201372,91.98,4160.0,1.0,1.0,0.0
1.0,0.0,92.39,,1.0,1.0,1.0,,,,4096.0,4096.0,1683052373.0,,2,125,0,10.0,92.1,75,0,0.0,277.3217204561699,1.0,44.28,4128.0,92.79,91.41,4160.0,1.0,0.0,0.0,92.15,4096.0,0.0,91.18,93.12,,0.0,0.0,4064.0,4096.0,178,8,,737.1268923201372,91.98,4160.0,1.0,1.0,0.0
2.0,0.0,92.39,32896.0,2.0,1.0,1.0,0.0,630.3189348520116,65760.0,4096.0,0.0,1683052374.0,52.18945232499391,2,1334,1088,10.0,92.1,76,0,0.0,750.1295120026193,2.0,41.9,4128.0,92.79,91.41,0.0,1.0,1.0,1.0,92.15,4096.0,1.0,91.18,93.12,2.0,0.0,1.0,4064.0,4096.0,179,8,0.0,750.1295120026193,91.98,0.0,1.0,1.0,1.0
2.0,0.0,94.15,,2.0,2.0,2.0,,,,128.0,160.0,1683052376.0,,2,2367,2144,10.0,93.64,77,0,0.0,746.3335120297255,2.0,40.73,128.0,94.25,92.88,160.0,2.0,0.0,0.0,93.8,128.0,0.0,92.94,94.66,,0.0,0.0,128.0,96.0,181,8,,746.3335120297255,93.8,160.0,2.0,2.0,0.0
2.0,0.0,93.69,,2.0,2.0,2.0,,,,256.0,288.0,1683052377.0,,2,3405,3200,10.0,93.12,78,0,0.0,743.8742556647488,2.0,39.47,256.0,93.98,92.44,288.0,2.0,0.0,0.0,93.22,256.0,0.0,92.44,94.18,,0.0,0.0,256.0,256.0,182,8,,743.8742556647488,93.27,288.0,2.0,2.0,0.0
2.0,0.0,93.26,,2.0,2.0,2.0,,,,384.0,416.0,1683052378.0,,2,4438,4224,10.0,92.83,79,0,0.0,741.7603108196028,2.0,38.19,416.0,93.71,92.17,416.0,2.0,0.0,0.0,92.94,384.0,0.0,92.1,93.97,,0.0,0.0,384.0,384.0,183,8,,741.7603108196028,92.9,416.0,2.0,2.0,0.0
2.0,0.0,93.0,,2.0,2.0,2.0,,,,512.0,544.0,1683052380.0,,2,5495,5248,10.0,92.61,80,0,0.0,740.5493011051562,2.0,36.83,544.0,93.49,91.9,544.0,2.0,0.0,0.0,92.68,512.0,0.0,91.82,93.66,,0.0,0.0,512.0,512.0,185,8,,740.5493011051562,92.61,544.0,2.0,2.0,0.0
2.0,0.0,92.83,,2.0,2.0,2.0,,,,640.0,672.0,1683052381.0,,2,6525,6336,10.0,92.45,81,0,0.0,739.6624304956847,2.0,35.48,672.0,93.43,91.75,672.0,2.0,0.0,0.0,92.5,640.0,0.0,91.65,93.55,,0.0,0.0,640.0,640.0,186,8,,739.6624304956847,92.38,672.0,2.0,2.0,0.0
2.0,0.0,92.71,,2.0,2.0,2.0,,,,800.0,800.0,1683052383.0,,2,7558,7360,10.0,92.39,82,0,0.0,738.7073747596424,2.0,34.13,800.0,93.28,91.63,800.0,2.0,0.0,0.0,92.36,800.0,0.0,91.6,93.47,,0.0,0.0,768.0,768.0,188,8,,738.7073747596424,92.22,800.0,2.0,2.0,0.0
2.0,0.0,92.59,,2.0,2.0,2.0,,,,928.0,928.0,1683052384.0,,2,8589,8384,10.0,92.33,83,0,0.0,737.8155959945002,2.0,32.77,928.0,93.17,91.47,928.0,2.0,0.0,0.0,92.25,928.0,0.0,91.43,93.34,,0.0,0.0,896.0,896.0,189,8,,737.8155959945002,92.11,928.0,2.0,2.0,0.0
2.0,0.0,92.47,,2.0,2.0,2.0,,,,1056.0,1056.0,1683052385.0,,2,9634,9440,10.0,92.25,84,0,0.0,737.459277876053,2.0,31.37,1056.0,93.03,91.4,1056.0,2.0,0.0,0.0,92.13,1056.0,0.0,91.36,93.17,,0.0,0.0,1024.0,1024.0,190,8,,737.459277876053,92.01,1056.0,2.0,2.0,0.0
2.0,0.0,92.41,,2.0,2.0,2.0,,,,1184.0,1184.0,1683052387.0,,2,10668,10496,10.0,92.18,85,0,0.0,737.0983431050925,2.0,29.98,1184.0,93.0,91.35,1184.0,2.0,0.0,0.0,92.1,1184.0,0.0,91.29,93.11,,0.0,0.0,1152.0,1152.0,192,8,,737.0983431050925,92.0,1216.0,2.0,2.0,0.0
2.0,0.0,92.38,,2.0,2.0,2.0,,,,1312.0,1312.0,1683052388.0,,2,11699,11520,10.0,92.17,86,0,0.0,736.6860604513097,2.0,28.6,1312.0,92.95,91.32,1344.0,2.0,0.0,0.0,92.04,1312.0,0.0,91.21,93.06,,0.0,0.0,1280.0,1280.0,193,8,,736.6860604513097,91.97,1344.0,2.0,2.0,0.0
2.0,0.0,92.3,,2.0,2.0,2.0,,,,1440.0,1440.0,1683052390.0,,2,12726,12544,10.0,92.07,87,0,0.0,736.3155314910928,2.0,27.22,1440.0,92.9,91.37,1472.0,2.0,0.0,0.0,92.0,1440.0,0.0,91.17,92.99,,0.0,0.0,1408.0,1408.0,195,8,,736.3155314910928,91.88,1472.0,2.0,2.0,0.0
2.0,0.0,92.26,,2.0,2.0,2.0,,,,1568.0,1568.0,1683052391.0,,2,13757,13568,10.0,92.06,88,0,0.0,735.7183239986934,2.0,25.84,1568.0,92.89,91.28,1600.0,2.0,0.0,0.0,91.99,1568.0,0.0,91.08,92.9,,0.0,0.0,1536.0,1536.0,196,8,,735.7183239986934,91.85,1600.0,2.0,2.0,0.0
2.0,0.0,92.12,,2.0,2.0,2.0,,,,1696.0,1696.0,1683052392.0,,2,14832,14592,10.0,91.94,89,0,0.0,735.3821836421323,2.0,24.39,1696.0,92.84,91.24,1728.0,2.0,0.0,0.0,91.88,1696.0,0.0,91.04,92.87,,0.0,0.0,1664.0,1664.0,197,8,,735.3821836421323,91.8,1728.0,2.0,2.0,0.0
2.0,0.0,92.07,,2.0,2.0,2.0,,,,1824.0,1824.0,1683052394.0,,2,15858,15616,10.0,91.94,90,0,0.0,735.0043009805978,2.0,23.01,1824.0,92.84,91.2,1856.0,2.0,0.0,0.0,91.81,1824.0,0.0,90.97,92.82,,0.0,0.0,1792.0,1792.0,199,8,,735.0043009805978,91.73,1856.0,2.0,2.0,0.0
2.0,0.0,92.03,,2.0,2.0,2.0,,,,1952.0,1952.0,1683052395.0,,2,16887,16640,10.0,91.85,91,0,0.0,734.3495587275065,2.0,21.63,1952.0,92.79,91.16,1984.0,2.0,0.0,0.0,91.72,1952.0,0.0,90.94,92.82,,0.0,0.0,1920.0,1920.0,200,8,,734.3495587275065,91.68,1984.0,2.0,2.0,0.0
2.0,0.0,91.82,,2.0,2.0,2.0,,,,2080.0,2080.0,1683052397.0,,2,17910,17664,10.0,91.83,92,0,0.0,734.0420980948048,2.0,20.24,2080.0,92.72,91.05,2112.0,2.0,0.0,0.0,91.66,2080.0,0.0,90.9,92.72,,0.0,0.0,2048.0,2048.0,202,8,,734.0420980948048,91.65,2112.0,2.0,2.0,0.0
2.0,0.0,91.75,,2.0,2.0,2.0,,,,2208.0,2208.0,1683052398.0,,2,18939,18688,10.0,91.84,93,0,0.0,733.5867816705339,2.0,18.85,2208.0,92.64,91.01,2240.0,2.0,0.0,0.0,91.63,2208.0,0.0,90.91,92.69,,0.0,0.0,2176.0,2176.0,203,8,,733.5867816705339,91.57,2240.0,2.0,2.0,0.0
2.0,0.0,91.73,,2.0,2.0,2.0,,,,2336.0,2336.0,1683052399.0,,2,19963,19712,10.0,91.75,94,0,0.0,733.3058879322994,2.0,17.46,2336.0,92.53,90.97,2368.0,2.0,0.0,0.0,91.64,2336.0,0.0,90.8,92.63,,0.0,0.0,2304.0,2304.0,204,8,,733.3058879322994,91.52,2368.0,2.0,2.0,0.0
2.0,0.0,91.73,,2.0,2.0,2.0,,,,2464.0,2464.0,1683052401.0,,2,20989,20736,10.0,91.67,95,0,0.0,733.0807804376442,2.0,16.07,2464.0,92.53,90.93,2496.0,2.0,0.0,0.0,91.64,2464.0,0.0,90.78,92.58,,0.0,0.0,2432.0,2432.0,206,8,,733.0807804376442,91.45,2496.0,2.0,2.0,0.0
2.0,0.0,91.67,,2.0,2.0,2.0,,,,2592.0,2592.0,1683052402.0,,2,22013,21760,10.0,91.64,96,0,0.0,732.79894618546,2.0,14.68,2592.0,92.52,90.89,2624.0,2.0,0.0,0.0,91.63,2592.0,0.0,90.74,92.61,,0.0,0.0,2560.0,2560.0,207,8,,732.79894618546,91.39,2624.0,2.0,2.0,0.0
2.0,0.0,91.61,,2.0,2.0,2.0,,,,2720.0,2720.0,1683052404.0,,2,23041,22784,9.66,91.6,97,0,0.0,732.4454830417717,2.0,13.28,2720.0,92.46,90.87,2752.0,2.0,0.0,0.0,91.61,2720.0,0.0,90.71,92.52,,0.0,0.0,2688.0,2688.0,209,8,,732.4454830417717,91.41,2752.0,2.0,2.0,0.0
2.0,0.0,91.56,,2.0,2.0,2.0,,,,2848.0,2848.0,1683052405.0,,2,24066,23840,8.64,91.56,98,0,0.0,732.0766634016979,2.0,11.89,2848.0,92.44,90.87,2880.0,2.0,0.0,0.0,91.53,2848.0,0.0,90.73,92.44,,0.0,0.0,2816.0,2816.0,210,8,,732.0766634016979,91.32,2880.0,2.0,2.0,0.0
2.0,0.0,91.48,,2.0,2.0,2.0,,,,2976.0,2976.0,1683052406.0,,2,25098,24864,7.62,91.47,99,0,0.0,731.7569182651889,2.0,10.48,2976.0,92.39,90.84,3008.0,2.0,0.0,0.0,91.5,2976.0,0.0,90.67,92.44,,0.0,0.0,2944.0,2944.0,211,8,,731.7569182651889,91.29,3040.0,2.0,2.0,0.0
2.0,0.0,91.48,,2.0,2.0,2.0,,,,3104.0,3104.0,1683052408.0,,2,26128,25888,6.6,91.35,100,0,0.0,731.254971952814,2.0,9.08,3104.0,92.43,90.84,3136.0,2.0,0.0,0.0,91.42,3104.0,0.0,90.58,92.37,,0.0,0.0,3072.0,3072.0,213,8,,731.254971952814,91.29,3168.0,2.0,2.0,0.0
2.0,0.0,91.42,,2.0,2.0,2.0,,,,3232.0,3232.0,1683052409.0,,2,27158,26944,5.58,91.15,101,0,0.0,730.9687492029238,2.0,7.68,3232.0,92.43,90.76,3264.0,2.0,0.0,0.0,91.34,3232.0,0.0,90.55,92.3,,0.0,0.0,3200.0,3200.0,214,8,,730.9687492029238,91.32,3296.0,2.0,2.0,0.0
2.0,0.0,91.46,,2.0,2.0,2.0,,,,3360.0,3360.0,1683052411.0,,2,28186,27968,4.56,90.99,102,0,0.0,730.5256697996948,2.0,6.27,3360.0,92.36,90.7,3424.0,2.0,0.0,0.0,91.35,3360.0,0.0,90.52,92.32,,0.0,0.0,3328.0,3328.0,216,8,,730.5256697996948,91.26,3424.0,2.0,2.0,0.0
2.0,0.0,91.47,,2.0,2.0,2.0,,,,3488.0,3488.0,1683052412.0,,2,29216,29024,3.54,90.84,103,0,0.0,730.1436733879461,2.0,4.87,3488.0,92.34,90.65,3552.0,2.0,0.0,0.0,91.32,3488.0,0.0,90.5,92.21,,0.0,0.0,3456.0,3456.0,217,8,,730.1436733879461,91.19,3552.0,2.0,2.0,0.0
2.0,0.0,91.4,,2.0,2.0,2.0,,,,3616.0,3616.0,1683052414.0,,2,30242,30048,2.52,90.9,104,0,0.0,730.0039214930151,2.0,3.46,3648.0,92.25,90.61,3680.0,2.0,0.0,0.0,91.3,3616.0,0.0,90.44,92.2,,0.0,0.0,3584.0,3584.0,219,8,,730.0039214930151,91.05,3680.0,2.0,2.0,0.0
2.0,0.0,91.31,,2.0,2.0,2.0,,,,3744.0,3744.0,1683052415.0,,2,31270,31072,1.49,91.07,105,0,0.0,729.9561785747337,2.0,2.05,3776.0,92.24,90.56,3808.0,2.0,0.0,0.0,91.25,3744.0,0.0,90.36,92.18,,0.0,0.0,3712.0,3712.0,220,8,,729.9561785747337,91.04,3808.0,2.0,2.0,0.0
2.0,0.0,91.27,,2.0,2.0,2.0,,,,3872.0,3872.0,1683052416.0,,2,32294,32096,0.5,91.13,106,0,0.0,729.7483620790141,2.0,0.65,3904.0,92.18,90.6,3936.0,2.0,0.0,0.0,91.22,3872.0,0.0,90.39,92.16,,0.0,0.0,3840.0,3840.0,221,8,,729.7483620790141,91.0,3936.0,2.0,2.0,0.0
2.0,0.0,91.21,,2.0,2.0,2.0,,,,4000.0,4000.0,1683052418.0,,2,33316,32896,0.5,91.09,107,0,0.0,729.5986439638065,2.0,0.0,4032.0,92.23,90.59,4064.0,2.0,0.0,0.0,91.19,4000.0,0.0,90.34,92.18,,0.0,0.0,3968.0,3968.0,223,8,,729.5986439638065,90.92,4064.0,2.0,2.0,0.0
2.0,0.0,91.16,,2.0,2.0,2.0,,,,4096.0,4096.0,1683052419.0,,2,34336,32896,0.5,91.12,108,0,0.0,729.5986439638065,2.0,0.0,4128.0,92.19,90.61,4160.0,2.0,0.0,0.0,91.17,4096.0,0.0,90.3,92.14,,0.0,0.0,4064.0,4096.0,224,8,,729.5986439638065,90.91,4160.0,2.0,2.0,0.0
2.0,0.0,91.16,,2.0,2.0,2.0,,,,4096.0,4096.0,1683052421.0,,2,35360,32896,0.5,91.12,109,0,0.0,729.5986439638065,2.0,0.0,4128.0,92.19,90.61,4160.0,2.0,0.0,0.0,91.17,4096.0,0.0,90.3,92.14,,0.0,0.0,4064.0,4096.0,226,8,,729.5986439638065,90.91,4160.0,2.0,2.0,0.0
2.0,0.0,91.16,,2.0,2.0,2.0,,,,4096.0,4096.0,1683052422.0,,2,36386,32896,0.5,91.12,110,0,0.0,729.5986439638065,2.0,0.0,4128.0,92.19,90.61,4160.0,2.0,0.0,0.0,91.17,4096.0,0.0,90.3,92.14,,0.0,0.0,4064.0,4096.0,227,8,,729.5986439638065,90.91,4160.0,2.0,2.0,0.0
2.0,0.0,91.16,,2.0,2.0,2.0,,,,4096.0,4096.0,1683052423.0,,2,37415,32896,0.5,91.12,111,0,0.0,729.5986439638065,2.0,0.0,4128.0,92.19,90.61,4160.0,2.0,0.0,0.0,91.17,4096.0,0.0,90.3,92.14,,0.0,0.0,4064.0,4096.0,228,8,,729.5986439638065,90.91,4160.0,2.0,2.0,0.0
2.0,0.0,91.16,,2.0,2.0,2.0,,,,4096.0,4096.0,1683052425.0,,2,38453,32896,0.5,91.12,112,0,0.0,729.5986439638065,2.0,0.0,4128.0,92.19,90.61,4160.0,2.0,0.0,0.0,91.17,4096.0,0.0,90.3,92.14,,0.0,0.0,4064.0,4096.0,230,8,,729.5986439638065,90.91,4160.0,2.0,2.0,0.0
2.0,0.0,91.16,,2.0,2.0,2.0,,,,4096.0,4096.0,1683052426.0,,3,490,288,10.0,91.12,113,0,0.0,724.0409596424118,2.0,44.58,4128.0,92.19,90.61,4160.0,2.0,0.0,0.0,91.17,4096.0,0.0,90.3,92.14,,0.0,0.0,4064.0,4096.0,231,8,,724.0409596424118,90.91,4160.0,2.0,2.0,0.0
3.0,0.0,89.4,32896.0,3.0,3.0,3.0,0.0,615.6509992682664,98656.0,32.0,32.0,1683052428.0,53.43287030979991,3,1591,1376,10.0,89.15,114,0,0.0,741.929706782198,3.0,42.02,32.0,94.21,88.72,64.0,3.0,0.0,0.0,89.1,0.0,0.0,88.53,94.03,3.0,0.0,0.0,32.0,32.0,233,8,0.0,741.929706782198,90.91,64.0,3.0,3.0,0.0
3.0,0.0,92.83,,3.0,3.0,3.0,,,,160.0,160.0,1683052429.0,,3,2624,2432,10.0,92.67,115,0,0.0,739.1135733809616,3.0,40.78,160.0,93.65,92.17,224.0,3.0,0.0,0.0,92.53,160.0,0.0,91.91,93.61,,0.0,0.0,160.0,160.0,234,8,,739.1135733809616,92.56,192.0,3.0,3.0,0.0
3.0,0.0,92.55,,3.0,3.0,3.0,,,,288.0,320.0,1683052430.0,,3,3657,3424,10.0,92.36,116,0,0.0,736.9973308339933,3.0,39.5,288.0,93.26,91.78,352.0,3.0,0.0,0.0,92.24,288.0,0.0,91.54,93.26,,0.0,0.0,288.0,288.0,235,8,,736.9973308339933,92.13,320.0,3.0,3.0,0.0
3.0,0.0,92.22,,3.0,3.0,3.0,,,,416.0,416.0,1683052432.0,,3,4687,4448,10.0,92.14,117,0,0.0,735.5557539475743,3.0,38.18,416.0,92.95,91.52,480.0,3.0,0.0,0.0,92.07,416.0,0.0,91.25,93.01,,0.0,0.0,416.0,416.0,237,8,,735.5557539475743,91.84,448.0,3.0,3.0,0.0
3.0,0.0,91.95,,3.0,3.0,3.0,,,,544.0,544.0,1683052433.0,,3,5722,5504,10.0,91.94,118,0,0.0,734.2718946855124,3.0,36.83,544.0,92.8,91.41,608.0,3.0,0.0,0.0,91.84,544.0,0.0,91.04,92.85,,0.0,0.0,544.0,544.0,238,8,,734.2718946855124,91.73,576.0,3.0,3.0,0.0
3.0,0.0,91.81,,3.0,3.0,3.0,,,,672.0,704.0,1683052435.0,,3,6760,6528,10.0,91.76,119,0,0.0,733.3428564123413,3.0,35.47,672.0,92.64,91.2,736.0,3.0,0.0,0.0,91.67,672.0,0.0,90.91,92.71,,0.0,0.0,672.0,672.0,240,8,,733.3428564123413,91.58,704.0,3.0,3.0,0.0
3.0,0.0,91.67,,3.0,3.0,3.0,,,,800.0,832.0,1683052436.0,,3,7795,7552,10.0,91.62,120,0,0.0,732.7028137585115,3.0,34.08,800.0,92.53,91.07,864.0,3.0,0.0,0.0,91.59,800.0,0.0,90.76,92.58,,0.0,0.0,800.0,800.0,241,8,,732.7028137585115,91.52,832.0,3.0,3.0,0.0
3.0,0.0,91.53,,3.0,3.0,3.0,,,,928.0,960.0,1683052437.0,,3,8827,8576,10.0,91.55,121,0,0.0,732.0741243618326,3.0,32.7,928.0,92.51,90.99,992.0,3.0,0.0,0.0,91.53,928.0,0.0,90.71,92.5,,0.0,0.0,928.0,928.0,242,8,,732.0741243618326,91.39,960.0,3.0,3.0,0.0
3.0,0.0,91.43,,3.0,3.0,3.0,,,,1056.0,1088.0,1683052439.0,,3,9855,9600,10.0,91.51,122,0,0.0,731.5480024292185,3.0,31.32,1056.0,92.47,90.89,1120.0,3.0,0.0,0.0,91.42,1056.0,0.0,90.61,92.4,,0.0,0.0,1056.0,1056.0,244,8,,731.5480024292185,91.35,1088.0,3.0,3.0,0.0
3.0,0.0,91.43,,3.0,3.0,3.0,,,,1184.0,1216.0,1683052440.0,,3,10878,10624,10.0,91.41,123,0,0.0,731.2386415757352,3.0,29.94,1184.0,92.43,90.84,1248.0,3.0,0.0,0.0,91.4,1184.0,0.0,90.46,92.34,,0.0,0.0,1184.0,1184.0,245,8,,731.2386415757352,91.23,1216.0,3.0,3.0,0.0
