03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
32,0.6195010159895539,1,32,0,52842.37,39,0,10.0,0.6195010159895539,1683583125,0,,,,,,,,,,,,,,,,,,,
65,1.2834265311013509,1,64,1,25481.36,40,0,10.0,1.2834265311013509,1683583126,0,32.0,0.0,0.62,0.0,,,,,,,,,,,,,,,
97,1.993039705888401,1,96,2,16392.37,42,0,10.0,1.993039705888401,1683583128,0,64.0,0.0,1.28,0.0,,,,,,,,,,,,,,,
131,2.7482173016730793,1,128,3,11875.84,43,0,10.0,2.7482173016730793,1683583129,0,96.0,0.0,1.99,0.0,,,,,,,,,,,,,,,
207,4.394664509271058,1,192,4,7409.31,47,0,10.0,4.394664509271058,1683583133,0,128.0,0.0,2.75,0.0,,,,,,,,,,,,,,,
327,8.19523791387789,1,320,5,3958.46,48,0,10.0,8.19523791387789,1683583134,0,192.0,0.0,4.39,0.0,,,,,,,,,,,,,,,
387,10.304710249214862,1,384,6,3142.36,49,0,10.0,10.304710249214862,1683583135,0,320.0,0.0,8.2,0.0,,,,,,,,,,,,,,,
422,11.394649178470905,1,416,7,2838.68,50,0,10.0,11.394649178470905,1683583136,0,384.0,0.0,10.3,0.0,,,,,,,,,,,,,,,
458,12.501452488073587,1,448,8,2584.5,51,0,10.0,12.501452488073587,1683583137,0,416.0,0.0,11.39,0.0,,,,,,,,,,,,,,,
535,13.617955359001089,1,480,9,2366.94,56,0,10.0,13.617955359001089,1683583142,0,448.0,0.0,12.5,0.0,,,,,,,,,,,,,,,
726,27.677532560226688,2,704,10,1157.69,57,0,10.0,27.677532560226688,1683583143,0,480.0,0.0,13.62,0.0,,,,,,,,,,,,,,,
802,32.119258644775925,2,768,11,995.22,58,0,10.0,32.119258644775925,1683583144,0,640.0,0.0,19.15,0.0,64.0,0.0,0.0,8.53,,,,,,,,,,,
915,39.61630945512753,2,896,12,804.04,59,0,10.0,39.61630945512753,1683583145,0,672.0,0.0,20.21,0.0,96.0,0.0,0.0,11.91,,,,,,,,,,,
992,42.78302483553559,2,960,13,742.73,60,0,10.0,42.78302483553559,1683583146,0,736.0,0.0,22.22,0.0,160.0,0.0,0.0,17.4,,,,,,,,,,,
1203,45.61660836654579,2,1024,14,691.97,64,0,10.0,45.61660836654579,1683583150,0,768.0,0.0,23.16,0.0,192.0,0.0,0.0,19.62,,,,,,,,,,,
1381,56.192086052844395,2,1344,15,558.57,65,0,10.0,56.192086052844395,1683583151,0,800.0,0.0,24.06,0.0,224.0,0.0,0.0,21.55,,,,,,,,,,,
1497,61.78187493069488,3,1440,16,506.15,66,0,10.0,61.78187493069488,1683583152,0,960.0,0.0,27.9,0.0,384.0,0.0,0.0,28.29,,,,,,,,,,,
1622,67.48034056625902,3,1568,17,461.55,68,0,10.0,67.48034056625902,1683583154,0,992.0,0.0,28.54,0.0,416.0,0.0,0.0,29.21,4.03,0.0,0.0,32.0,,,,,,,
1768,74.6885811599268,3,1696,18,415.06,69,0,10.0,74.6885811599268,1683583155,0,1024.0,0.0,29.13,0.0,480.0,0.0,0.0,30.74,7.61,0.0,0.0,64.0,,,,,,,
1894,78.74037622444271,3,1824,19,392.1,70,0,10.0,78.74037622444271,1683583156,0,1056.0,0.0,29.68,0.0,512.0,0.0,0.0,31.39,13.62,0.0,0.0,128.0,,,,,,,
2037,84.39235912997903,3,1984,20,364.14,71,0,10.0,84.39235912997903,1683583157,0,1120.0,0.0,30.65,0.0,544.0,0.0,0.0,31.95,16.14,0.0,0.0,160.0,,,,,,,
2159,86.96536941744867,3,2080,21,351.97,72,0,10.0,86.96536941744867,1683583158,0,1152.0,0.0,31.08,0.0,608.0,0.0,0.0,32.91,20.4,0.0,0.0,224.0,,,,,,,
2285,89.54583673565072,3,2208,22,340.42,73,0,10.0,89.54583673565072,1683583159,0,1184.0,0.0,31.48,0.0,640.0,0.0,0.0,33.31,22.18,0.0,0.0,256.0,,,,,,,
2437,93.14442808897095,3,2368,23,325.64,75,0,10.0,93.14442808897095,1683583161,0,1248.0,0.0,32.2,0.0,672.0,0.0,0.0,33.57,23.78,0.0,0.0,288.0,,,,,,,
2572,94.80565482835512,3,2464,24,318.5,76,0,10.0,94.80565482835512,1683583162,0,1280.0,0.0,32.52,0.0,736.0,0.0,0.0,34.16,26.47,0.0,0.0,352.0,,,,,,,
2721,97.66404948722658,3,2656,25,307.65,77,0,10.0,97.66404948722658,1683583163,0,1312.0,0.0,32.8,0.0,768.0,0.0,0.0,34.4,27.6,0.0,0.0,384.0,,,,,,,
2858,98.87994451881467,3,2752,26,302.49,79,0,10.0,98.87994451881467,1683583165,0,1376.0,0.0,33.31,0.0,832.0,0.0,0.0,34.82,29.53,0.0,0.0,448.0,,,,,,,
3005,100.95655517064233,3,2944,27,294.81,80,0,10.0,100.95655517064233,1683583166,0,1408.0,0.0,33.55,0.0,864.0,0.0,0.0,34.98,30.35,0.0,0.0,480.0,,,,,,,
3143,101.81619638408068,3,3040,28,290.96,81,0,10.0,101.81619638408068,1683583167,0,1472.0,0.0,33.94,0.0,928.0,0.0,0.0,35.28,31.74,0.0,0.0,544.0,,,,,,,
3288,103.29836969147641,3,3232,29,285.38,82,0,10.0,103.29836969147641,1683583168,0,1504.0,0.0,34.11,0.0,960.0,0.0,0.0,35.39,32.31,0.0,0.0,576.0,,,,,,,
3428,103.94361179022209,3,3328,30,282.27,84,0,10.0,103.94361179022209,1683583170,0,1568.0,0.0,34.42,0.0,1024.0,0.0,0.0,35.59,33.3,0.0,0.0,640.0,,,,,,,
3570,104.85760874540543,3,3456,31,278.46,85,0,10.0,104.85760874540543,1683583171,0,1600.0,0.0,34.56,0.0,1056.0,0.0,0.0,35.68,33.71,0.0,0.0,672.0,,,,,,,
3711,105.47655153945456,3,3616,32,275.48,86,0,10.0,105.47655153945456,1683583172,0,1632.0,0.0,34.69,0.0,1088.0,0.0,0.0,35.75,34.42,0.0,0.0,736.0,,,,,,,
3853,106.08883461090309,3,3744,33,272.56,88,0,10.0,106.08883461090309,1683583174,0,1696.0,0.0,34.92,0.0,1152.0,0.0,0.0,35.85,34.71,0.0,0.0,768.0,,,,,,,
3993,106.50792381201948,3,3904,34,270.17,89,0,10.0,106.50792381201948,1683583175,0,1728.0,0.0,35.02,0.0,1184.0,0.0,0.0,35.89,35.18,0.0,0.0,832.0,,,,,,,
4134,106.99259384829259,3,4032,35,267.63,90,0,10.0,106.99259384829259,1683583176,0,1792.0,0.0,35.19,0.0,1248.0,0.0,0.0,35.96,35.36,0.0,0.0,864.0,,,,,,,
4275,107.31871672230636,3,4192,36,265.5,91,0,10.0,107.31871672230636,1683583177,0,1824.0,0.0,35.28,0.0,1280.0,0.0,0.0,35.98,35.73,0.0,0.0,928.0,,,,,,,
4416,107.65408325660445,3,4320,37,263.36,93,0,10.0,107.65408325660445,1683583179,0,1888.0,0.0,35.41,0.0,1344.0,0.0,0.0,36.04,35.87,0.0,0.0,960.0,,,,,,,
4557,107.86264990939577,3,4480,38,261.55,94,0,10.0,107.86264990939577,1683583180,0,1920.0,0.0,35.45,0.0,1376.0,0.0,0.0,36.07,36.13,0.0,0.0,1024.0,,,,,,,
4698,108.06441605036757,3,4608,39,259.75,95,0,10.0,108.06441605036757,1683583181,0,1984.0,0.0,35.54,0.0,1440.0,0.0,0.0,36.09,36.23,0.0,0.0,1056.0,,,,,,,
4837,108.15481974611741,3,4736,40,258.25,97,0,10.0,108.15481974611741,1683583183,0,2016.0,0.0,35.6,0.0,1472.0,0.0,0.0,36.08,36.38,0.0,0.0,1120.0,,,,,,,
4978,108.37561501008449,3,4896,41,256.42,98,0,10.0,108.37561501008449,1683583184,0,2048.0,0.0,35.65,0.0,1536.0,0.0,0.0,36.08,36.42,0.0,0.0,1152.0,,,,,,,
5118,108.45497270044076,3,4992,42,254.95,99,0,10.0,108.45497270044076,1683583185,0,2112.0,0.0,35.75,0.0,1568.0,0.0,0.0,36.09,36.53,0.0,0.0,1216.0,,,,,,,
5259,108.61672043964504,3,5184,43,253.27,100,0,10.0,108.61672043964504,1683583186,0,2144.0,0.0,35.78,0.0,1600.0,0.0,0.0,36.08,36.6,0.0,0.0,1248.0,,,,,,,
5398,108.64184912401194,3,5280,44,251.93,102,0,10.0,108.64184912401194,1683583188,0,2208.0,0.0,35.86,0.0,1664.0,0.0,0.0,36.09,36.67,0.0,0.0,1312.0,,,,,,,
5539,108.7452894759617,3,5472,45,250.39,103,0,10.0,108.7452894759617,1683583189,0,2240.0,0.0,35.88,0.0,1696.0,0.0,0.0,36.07,36.7,0.0,0.0,1344.0,,,,,,,
5679,108.77965829670094,3,5568,46,249.02,104,0,10.0,108.77965829670094,1683583190,0,2304.0,0.0,35.93,0.0,1760.0,0.0,0.0,36.06,36.75,0.0,0.0,1408.0,,,,,,,
5820,108.82528423670034,3,5760,47,247.63,106,0,10.0,108.82528423670034,1683583192,0,2336.0,0.0,35.96,0.0,1792.0,0.0,0.0,36.05,36.77,0.0,0.0,1440.0,,,,,,,
5960,108.81102108099837,3,5856,48,246.37,107,0,10.0,108.81102108099837,1683583193,0,2400.0,0.0,36.01,0.0,1856.0,0.0,0.0,36.02,36.8,0.0,0.0,1504.0,,,,,,,
6100,108.79880616543036,3,6016,49,245.11,108,0,10.0,108.79880616543036,1683583194,0,2432.0,0.0,36.02,0.0,1888.0,0.0,0.0,36.0,36.79,0.0,0.0,1536.0,,,,,,,
6240,108.82259890472767,3,6144,50,243.78,109,0,10.0,108.82259890472767,1683583195,0,2464.0,0.0,36.03,0.0,1952.0,0.0,0.0,35.96,36.81,0.0,0.0,1600.0,,,,,,,
6379,108.84271453450614,3,6272,51,242.45,111,0,10.0,108.84271453450614,1683583197,0,2528.0,0.0,36.06,0.0,1984.0,0.0,0.0,35.96,36.8,0.0,0.0,1632.0,,,,,,,
6519,108.83995956682926,3,6432,52,241.17,112,0,10.0,108.83995956682926,1683583198,0,2560.0,0.0,36.09,0.0,2016.0,0.0,0.0,35.95,36.81,0.0,0.0,1696.0,,,,,,,
6659,108.86368518035954,3,6560,53,239.83,113,0,10.0,108.86368518035954,1683583199,0,2624.0,0.0,36.13,0.0,2080.0,0.0,0.0,35.9,36.81,0.0,0.0,1728.0,,,,,,,
6798,108.82827455253639,3,6720,54,238.63,115,0,10.0,108.82827455253639,1683583201,0,2656.0,0.0,36.14,0.0,2112.0,0.0,0.0,35.9,36.82,0.0,0.0,1792.0,,,,,,,
6939,108.85579048986367,3,6848,55,237.28,116,0,10.0,108.85579048986367,1683583202,0,2720.0,0.0,36.16,0.0,2176.0,0.0,0.0,35.87,36.8,0.0,0.0,1824.0,,,,,,,
7079,108.82851651712767,3,7008,56,236.05,117,0,10.0,108.82851651712767,1683583203,0,2752.0,0.0,36.18,0.0,2208.0,0.0,0.0,35.87,36.81,0.0,0.0,1888.0,,,,,,,
7219,108.8313392935789,3,7104,57,234.76,118,0,10.0,108.8313392935789,1683583204,0,2816.0,0.0,36.19,0.0,2272.0,0.0,0.0,35.85,36.79,0.0,0.0,1920.0,,,,,,,
7358,108.78864951575224,3,7264,58,233.58,120,0,10.0,108.78864951575224,1683583206,0,2848.0,0.0,36.21,0.0,2304.0,0.0,0.0,35.85,36.78,0.0,0.0,1952.0,,,,,,,
7497,108.77378586471556,3,7392,59,232.33,121,0,10.0,108.77378586471556,1683583207,0,2912.0,0.0,36.2,0.0,2336.0,0.0,0.0,35.86,36.73,0.0,0.0,2016.0,,,,,,,
7636,108.76991333323039,3,7520,60,231.06,122,0,10.0,108.76991333323039,1683583208,0,2944.0,0.0,36.21,0.0,2400.0,0.0,0.0,35.84,36.73,0.0,0.0,2048.0,,,,,,,
7775,108.74828623603872,3,7680,61,229.82,124,0,10.0,108.74828623603872,1683583210,0,2976.0,0.0,36.21,0.0,2432.0,0.0,0.0,35.84,36.71,0.0,0.0,2112.0,,,,,,,
7914,108.71793293662475,3,7808,62,228.61,125,0,10.0,108.71793293662475,1683583211,0,3040.0,0.0,36.23,0.0,2496.0,0.0,0.0,35.81,36.71,0.0,0.0,2144.0,,,,,,,
8054,108.69362923166446,3,7968,63,227.37,126,0,10.0,108.69362923166446,1683583212,0,3072.0,0.0,36.24,0.0,2528.0,0.0,0.0,35.79,36.69,0.0,0.0,2208.0,,,,,,,
8193,108.67433989882545,3,8096,64,226.13,127,0,10.0,108.67433989882545,1683583213,0,3136.0,0.0,36.22,0.0,2592.0,0.0,0.0,35.8,36.68,0.0,0.0,2240.0,,,,,,,
8332,108.63149211676364,3,8256,65,224.94,129,0,10.0,108.63149211676364,1683583215,0,3168.0,0.0,36.21,0.0,2624.0,0.0,0.0,35.81,36.66,0.0,0.0,2304.0,,,,,,,
8471,108.58511812250569,3,8384,66,223.76,130,0,10.0,108.58511812250569,1683583216,0,3232.0,0.0,36.18,0.0,2688.0,0.0,0.0,35.81,36.64,0.0,0.0,2336.0,,,,,,,
8609,108.54901845260613,3,8512,67,222.56,131,0,10.0,108.54901845260613,1683583217,0,3264.0,0.0,36.17,0.0,2720.0,0.0,0.0,35.81,36.61,0.0,0.0,2400.0,,,,,,,
8749,108.52586401333954,3,8672,68,221.32,132,0,10.0,108.52586401333954,1683583218,0,3328.0,0.0,36.16,0.0,2752.0,0.0,0.0,35.81,36.58,0.0,0.0,2432.0,,,,,,,
8887,108.49047088948386,3,8800,69,220.12,134,0,10.0,108.49047088948386,1683583220,0,3360.0,0.0,36.16,0.0,2816.0,0.0,0.0,35.79,36.58,0.0,0.0,2496.0,,,,,,,
9027,108.49875549448723,3,8928,70,218.81,135,0,10.0,108.49875549448723,1683583221,0,3424.0,0.0,36.15,0.0,2848.0,0.0,0.0,35.78,36.57,0.0,0.0,2528.0,,,,,,,
9166,108.44753052888177,3,9056,71,217.64,136,0,10.0,108.44753052888177,1683583222,0,3456.0,0.0,36.16,0.0,2912.0,0.0,0.0,35.77,36.57,0.0,0.0,2560.0,,,,,,,
9304,108.39383933025985,3,9216,72,216.47,138,0,10.0,108.39383933025985,1683583224,0,3488.0,0.0,36.16,0.0,2944.0,0.0,0.0,35.76,36.53,0.0,0.0,2624.0,,,,,,,
9443,108.38859455655441,3,9344,73,215.2,139,0,10.0,108.38859455655441,1683583225,0,3552.0,0.0,36.12,0.0,3008.0,0.0,0.0,35.75,36.52,0.0,0.0,2656.0,,,,,,,
9583,108.39985190334292,3,9472,74,213.89,140,0,10.0,108.39985190334292,1683583226,0,3584.0,0.0,36.13,0.0,3040.0,0.0,0.0,35.76,36.49,0.0,0.0,2720.0,,,,,,,
9721,108.3344106724937,3,9632,75,212.74,141,0,10.0,108.3344106724937,1683583227,0,3648.0,0.0,36.14,0.0,3072.0,0.0,0.0,35.77,36.5,0.0,0.0,2752.0,,,,,,,
9859,108.28679491784456,3,9760,76,211.55,143,0,10.0,108.28679491784456,1683583229,0,3680.0,0.0,36.12,0.0,3136.0,0.0,0.0,35.76,36.46,0.0,0.0,2816.0,,,,,,,
10000,108.2657328214805,3,9920,77,210.3,144,0,10.0,108.2657328214805,1683583230,0,3744.0,0.0,36.09,0.0,3168.0,0.0,0.0,35.75,36.45,0.0,0.0,2848.0,,,,,,,
10138,108.18914222048011,3,10048,78,209.17,145,0,10.0,108.18914222048011,1683583231,0,3776.0,0.0,36.08,0.0,3232.0,0.0,0.0,35.76,36.43,0.0,0.0,2912.0,,,,,,,
10277,108.14775051925464,3,10208,79,207.97,147,0,10.0,108.14775051925464,1683583233,0,3840.0,0.0,36.04,0.0,3264.0,0.0,0.0,35.75,36.4,0.0,0.0,2944.0,,,,,,,
10416,108.13335344537083,3,10304,80,206.71,148,0,10.0,108.13335344537083,1683583234,0,3872.0,0.0,36.03,0.0,3328.0,0.0,0.0,35.73,36.39,0.0,0.0,3008.0,,,,,,,
10555,108.14961715017608,3,10464,81,205.39,149,0,10.0,108.14961715017608,1683583235,0,3904.0,0.0,36.02,0.0,3360.0,0.0,0.0,35.75,36.37,0.0,0.0,3040.0,,,,,,,
10693,108.1438127108834,3,10592,82,204.12,150,0,10.0,108.1438127108834,1683583236,0,3968.0,0.0,36.01,0.0,3392.0,0.0,0.0,35.76,36.38,0.0,0.0,3104.0,,,,,,,
10831,108.1256181490249,3,10720,83,202.88,152,0,10.0,108.1256181490249,1683583238,0,4000.0,0.0,36.0,0.0,3456.0,0.0,0.0,35.78,36.36,0.0,0.0,3136.0,,,,,,,
10970,108.09811282751916,3,10880,84,201.65,153,0,10.0,108.09811282751916,1683583239,0,4064.0,0.0,35.97,0.0,3488.0,0.0,0.0,35.8,36.36,0.0,0.0,3168.0,,,,,,,
11108,108.08502059696727,3,11008,85,200.4,154,0,10.0,108.08502059696727,1683583240,0,4096.0,0.0,35.95,0.0,3552.0,0.0,0.0,35.82,36.33,0.0,0.0,3232.0,,,,,,,
11246,108.04602063312592,3,11168,86,199.19,156,0,10.0,108.04602063312592,1683583242,0,4160.0,0.0,35.94,0.0,3584.0,0.0,0.0,35.83,36.31,0.0,0.0,3264.0,,,,,,,
11385,108.0482664811512,3,11264,87,197.9,157,0,10.0,108.0482664811512,1683583243,0,4192.0,0.0,35.93,0.0,3648.0,0.0,0.0,35.84,36.28,0.0,0.0,3328.0,,,,,,,
11523,107.99201537563846,3,11456,88,196.73,158,0,10.0,107.99201537563846,1683583244,0,4224.0,0.0,35.93,0.0,3680.0,0.0,0.0,35.85,36.26,0.0,0.0,3360.0,,,,,,,
11662,107.9969769760812,3,11552,89,195.43,159,0,10.0,107.9969769760812,1683583245,0,4288.0,0.0,35.92,0.0,3744.0,0.0,0.0,35.83,36.24,0.0,0.0,3424.0,,,,,,,
11800,107.98228540929807,3,11712,90,194.18,161,0,10.0,107.98228540929807,1683583247,0,4320.0,0.0,35.91,0.0,3776.0,0.0,0.0,35.82,36.26,0.0,0.0,3456.0,,,,,,,
11938,107.98079863273503,3,11840,91,192.9,162,0,10.0,107.98079863273503,1683583248,0,4384.0,0.0,35.91,0.0,3808.0,0.0,0.0,35.84,36.24,0.0,0.0,3520.0,,,,,,,
