03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_4_epoch,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
65,1.3475702453865732,1,64,0,24268.48,31,0,10.0,1.3475702453865732,1683048544,0,,,,,,,,,,,,,,,,,,,,,,,
193,4.871866204699502,1,192,1,6686.35,33,0,10.0,4.871866204699502,1683048546,0,64.0,0.0,1.35,0.0,,,,,,,,,,,,,,,,,,,
291,8.3921220942233,1,288,2,3869.93,34,0,10.0,8.3921220942233,1683048547,0,192.0,0.0,4.87,0.0,,,,,,,,,,,,,,,,,,,
419,14.466052992355984,1,416,3,2236.22,35,0,10.0,14.466052992355984,1683048548,0,288.0,0.0,8.39,0.0,,,,,,,,,,,,,,,,,,,
519,20.13275555511738,1,512,4,1601.82,36,0,10.0,20.13275555511738,1683048549,0,416.0,0.0,14.47,0.0,,,,,,,,,,,,,,,,,,,
645,29.058103583178514,1,640,5,1105.49,37,0,10.0,29.058103583178514,1683048550,0,512.0,0.0,20.13,0.0,,,,,,,,,,,,,,,,,,,
857,36.542541109442666,1,736,6,873.25,42,0,10.0,36.542541109442666,1683048555,0,640.0,0.0,29.06,0.0,,,,,,,,,,,,,,,,,,,
1145,66.13335937936442,1,1120,7,478.16,43,0,10.0,66.13335937936442,1683048556,0,736.0,0.0,36.54,0.0,,,,,,,,,,,,,,,,,,,
1262,73.51690584403197,1,1248,8,428.55,44,0,10.0,73.51690584403197,1683048557,0,1120.0,0.0,66.13,0.0,,,,,,,,,,,,,,,,,,,
1371,78.03605414086292,1,1344,9,402.34,45,0,10.0,78.03605414086292,1683048558,0,1248.0,0.0,73.52,0.0,,,,,,,,,,,,,,,,,,,
