03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_2_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_3_samples_per_second,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_3_samples_accumulated,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
32,0.6151056332901489,1,32,0,53219.56,41,0,10.0,0.6151056332901489,1683587730,0,,,,,,,,,,,,,,,,,,,
65,1.2754517217844341,1,64,1,25640.24,42,0,10.0,1.2754517217844341,1683587731,0,32.0,0.0,0.62,0.0,,,,,,,,,,,,,,,
163,7.810491116730327,2,160,2,4174.54,43,0,10.0,7.810491116730327,1683587732,0,64.0,0.0,1.28,0.0,,,,,,,,,,,,,,,
299,21.816957686334646,3,288,3,1488.25,44,0,10.0,21.816957686334646,1683587733,0,128.0,0.0,2.74,0.0,32.0,0.0,0.0,5.08,,,,,,,,,,,
428,32.71852984305468,3,416,4,988.42,45,0,10.0,32.71852984305468,1683587734,0,160.0,0.0,3.54,0.0,64.0,0.0,0.0,9.32,8.96,0.0,0.0,64.0,,,,,,,
566,40.05991797868175,3,544,5,803.84,46,0,10.0,40.05991797868175,1683587735,0,192.0,0.0,4.38,0.0,128.0,0.0,0.0,15.96,12.38,0.0,0.0,96.0,,,,,,,
695,47.88253763122038,3,672,6,669.83,48,0,10.0,47.88253763122038,1683587737,0,256.0,0.0,6.21,0.0,160.0,0.0,0.0,18.57,15.27,0.0,0.0,128.0,,,,,,,
847,55.419273332528576,3,832,7,576.0,49,0,10.0,55.419273332528576,1683587738,0,288.0,0.0,7.19,0.0,192.0,0.0,0.0,20.83,19.86,0.0,0.0,192.0,,,,,,,
960,59.543658119408164,3,928,8,534.19,50,0,10.0,59.543658119408164,1683587739,0,352.0,0.0,9.26,0.0,256.0,0.0,0.0,24.48,21.67,0.0,0.0,224.0,,,,,,,
1076,63.31138227157727,3,1024,9,500.57,51,0,10.0,63.31138227157727,1683587740,0,384.0,0.0,10.35,0.0,288.0,0.0,0.0,25.96,23.23,0.0,0.0,256.0,,,,,,,
1232,69.96159464251714,3,1216,10,450.77,52,0,10.0,69.96159464251714,1683587741,0,416.0,0.0,11.46,0.0,320.0,0.0,0.0,27.27,24.59,0.0,0.0,288.0,,,,,,,
1349,72.90940237437096,3,1312,11,430.93,53,0,10.0,72.90940237437096,1683587742,0,480.0,0.0,13.74,0.0,384.0,0.0,0.0,29.42,26.81,0.0,0.0,352.0,,,,,,,
1467,75.62286995697082,3,1408,12,413.91,55,0,10.0,75.62286995697082,1683587744,0,512.0,0.0,14.89,0.0,416.0,0.0,0.0,30.31,27.71,0.0,0.0,384.0,,,,,,,
1609,79.89331937747697,3,1568,13,390.01,56,0,10.0,79.89331937747697,1683587745,0,544.0,0.0,16.05,0.0,448.0,0.0,0.0,31.09,28.49,0.0,0.0,416.0,,,,,,,
1733,82.67272816015722,3,1696,14,375.39,57,0,10.0,82.67272816015722,1683587746,0,608.0,0.0,18.33,0.0,512.0,0.0,0.0,32.38,29.18,0.0,0.0,448.0,,,,,,,
1858,85.14299328928038,3,1824,15,363.04,58,0,10.0,85.14299328928038,1683587747,0,640.0,0.0,19.45,0.0,544.0,0.0,0.0,32.93,30.3,0.0,0.0,512.0,,,,,,,
1993,88.02785536799708,3,1952,16,349.61,59,0,10.0,88.02785536799708,1683587748,0,672.0,0.0,20.55,0.0,608.0,0.0,0.0,33.84,30.75,0.0,0.0,544.0,,,,,,,
2113,89.71741115251703,3,2048,17,341.68,60,0,10.0,89.71741115251703,1683587749,0,736.0,0.0,22.65,0.0,640.0,0.0,0.0,34.21,31.16,0.0,0.0,576.0,,,,,,,
