03_hivemind/estimated_current_samples,03_hivemind/optimistic_total_samples_per_second,03_hivemind/num_peers,03_hivemind/global_samples_accumulated,_step,03_hivemind/eta_next_epoch_s,_runtime,03_hivemind/global_epoch,03_hivemind/next_fetch_time_s,03_hivemind/actual_total_samples_per_second,_timestamp,03_hivemind/num_clients,04_peers/peer_1_samples_accumulated,04_peers/peer_1_epoch,04_peers/peer_1_samples_per_second,04_peers/peer_1_epoch_oos,04_peers/peer_3_samples_per_second,04_peers/peer_2_samples_accumulated,04_peers/peer_4_samples_per_second,04_peers/peer_4_samples_accumulated,04_peers/peer_2_epoch,04_peers/peer_3_epoch_oos,04_peers/peer_3_epoch,04_peers/peer_4_epoch,04_peers/peer_3_samples_accumulated,04_peers/peer_2_epoch_oos,04_peers/peer_2_samples_per_second,04_peers/peer_4_epoch_oos,03_hivemind/epoch_s,03_hivemind/undershot_TBS,03_hivemind/total_training_samples,03_hivemind/per_epoch_training_samples,03_hivemind/reached_TBS,03_hivemind/epoch_based_sps,03_hivemind/overshot_TBS
225,6.314193077037483,1,224,0,5153.9,39,0,10.0,6.314193077037483,1683047966,0,,,,,,,,,,,,,,,,,,,,,,,
587,23.54636539226269,1,512,1,1366.71,43,0,10.0,23.54636539226269,1683047970,0,224.0,0.0,6.31,0.0,,,,,,,,,,,,,,,,,,,
1536,184.45528156663983,1,1504,2,169.32,44,0,10.0,184.45528156663983,1683047971,0,512.0,0.0,23.55,0.0,,,,,,,,,,,,,,,,,,,
2224,323.97952501798954,4,2176,3,94.28,45,0,10.0,323.97952501798954,1683047972,0,1504.0,0.0,184.46,0.0,,,,,,,,,,,,,,,,,,,
3413,585.5525297806599,4,3328,4,50.13,46,0,10.0,585.5525297806599,1683047973,0,1792.0,0.0,212.42,0.0,36.7,192.0,16.89,64.0,0.0,0.0,0.0,0.0,128.0,0.0,57.97,0.0,,,,,,,
4580,773.5536964615736,4,4448,5,36.44,48,0,10.0,773.5536964615736,1683047975,0,2080.0,0.0,226.25,0.0,120.91,480.0,98.98,352.0,0.0,0.0,0.0,0.0,416.0,0.0,139.41,0.0,,,,,,,
5890,882.3457754818952,4,5728,6,30.46,49,0,10.0,882.3457754818952,1683047976,0,2336.0,0.0,230.77,0.0,182.88,768.0,167.17,640.0,0.0,0.0,0.0,0.0,704.0,0.0,192.74,0.0,,,,,,,
7051,926.0219795337384,4,6880,7,27.77,50,0,10.0,926.0219795337384,1683047977,0,2656.0,0.0,234.56,0.0,217.78,1088.0,209.4,960.0,0.0,0.0,0.0,0.0,1024.0,0.0,220.6,0.0,,,,,,,
8194,942.7686759832922,4,8032,8,26.07,51,0,10.0,942.7686759832922,1683047978,0,2944.0,0.0,236.69,0.0,231.85,1376.0,226.52,1248.0,0.0,0.0,0.0,0.0,1312.0,0.0,230.96,0.0,,,,,,,
9342,949.4530262523898,4,9184,9,24.67,53,0,10.0,949.4530262523898,1683047980,0,3232.0,0.0,237.12,0.0,237.24,1664.0,232.95,1536.0,0.0,0.0,0.0,0.0,1600.0,0.0,235.46,0.0,,,,,,,
10483,951.9703690922047,4,10336,10,23.41,54,0,10.0,951.9703690922047,1683047981,0,3520.0,0.0,237.68,0.0,238.77,1952.0,235.97,1824.0,0.0,0.0,0.0,0.0,1888.0,0.0,237.03,0.0,,,,,,,
11621,951.1918582414493,4,11488,11,22.23,55,0,10.0,951.1918582414493,1683047982,0,3808.0,0.0,237.81,0.0,239.68,2240.0,237.15,2112.0,0.0,0.0,0.0,0.0,2176.0,0.0,237.33,0.0,,,,,,,
12764,951.399941066738,4,12608,12,21.03,56,0,10.0,951.399941066738,1683047983,0,4096.0,0.0,236.91,0.0,239.25,2528.0,237.8,2400.0,0.0,0.0,0.0,0.0,2464.0,0.0,237.23,0.0,,,,,,,
13911,950.425332607941,4,13760,13,19.84,57,0,10.0,950.425332607941,1683047984,0,4384.0,0.0,237.61,0.0,238.61,2816.0,237.58,2656.0,0.0,0.0,0.0,0.0,2752.0,0.0,237.6,0.0,,,,,,,
15048,951.3516394218984,4,14912,14,18.63,59,0,10.0,951.3516394218984,1683047986,0,4672.0,0.0,237.4,0.0,239.09,3104.0,236.72,2944.0,0.0,0.0,0.0,0.0,3040.0,0.0,237.22,0.0,,,,,,,
16182,949.3091385209398,4,16032,15,17.47,60,0,9.98,949.3091385209398,1683047987,0,4960.0,0.0,237.51,0.0,238.41,3392.0,237.48,3232.0,0.0,0.0,0.0,0.0,3328.0,0.0,237.96,0.0,,,,,,,
17323,948.5431231018647,4,17152,16,16.28,61,0,9.3,948.5431231018647,1683047988,0,5248.0,0.0,237.52,0.0,238.23,3648.0,237.06,3520.0,0.0,0.0,0.0,0.0,3616.0,0.0,236.5,0.0,,,,,,,
18454,946.179459541018,4,18304,17,15.13,62,0,8.64,946.179459541018,1683047989,0,5504.0,0.0,236.93,0.0,237.88,3936.0,237.46,3808.0,0.0,0.0,0.0,0.0,3904.0,0.0,236.27,0.0,,,,,,,
19581,937.530054158083,4,19424,18,14.07,63,0,8.04,937.530054158083,1683047990,0,5792.0,0.0,236.89,0.0,237.85,4224.0,235.68,4096.0,0.0,0.0,0.0,0.0,4192.0,0.0,235.77,0.0,,,,,,,
20715,943.4646553447644,4,20576,19,12.78,65,0,7.3,943.4646553447644,1683047992,0,6080.0,0.0,236.95,0.0,229.41,4512.0,235.41,4384.0,0.0,0.0,0.0,0.0,4448.0,0.0,235.75,0.0,,,,,,,
21850,947.1576368327298,4,21696,20,11.53,66,0,6.59,947.1576368327298,1683047993,0,6368.0,0.0,236.85,0.0,234.6,4800.0,235.32,4672.0,0.0,0.0,0.0,0.0,4736.0,0.0,236.69,0.0,,,,,,,
22985,946.7630056035136,4,22816,21,10.33,67,0,5.9,946.7630056035136,1683047994,0,6656.0,0.0,237.06,0.0,236.66,5088.0,236.14,4928.0,0.0,0.0,0.0,0.0,5024.0,0.0,237.3,0.0,,,,,,,
24105,939.9294448729877,4,23936,22,9.22,68,0,5.27,939.9294448729877,1683047995,0,6944.0,0.0,237.13,0.0,236.32,5344.0,236.89,5216.0,0.0,0.0,0.0,0.0,5312.0,0.0,236.42,0.0,,,,,,,
